Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Community & Other
Nov 01 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 27 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 22 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 17 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 12 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 08 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Oct 03 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 28 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 23 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 18 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 13 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 08 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Sep 03 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 30 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 25 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 20 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 15 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 10 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Aug 05 2030,HNT,0,217375000.00,217375000.00,70831250.00,146543750.00
Jul 31 2030,HNT,0,217369863.01,217369863.01,70829965.75,146539897.26
Jul 26 2030,HNT,0,217344178.08,217344178.08,70823544.52,146520633.56
Jul 22 2030,HNT,0,217323630.14,217323630.14,70818407.53,146505222.60
Jul 17 2030,HNT,0,217297945.21,217297945.21,70811986.30,146485958.90
Jul 12 2030,HNT,0,217272260.27,217272260.27,70805565.07,146466695.21
Jul 07 2030,HNT,0,217246575.34,217246575.34,70799143.84,146447431.51
Jul 02 2030,HNT,0,217220890.41,217220890.41,70792722.60,146428167.81
Jun 27 2030,HNT,0,217195205.48,217195205.48,70786301.37,146408904.11
Jun 22 2030,HNT,0,217169520.55,217169520.55,70779880.14,146389640.41
Jun 17 2030,HNT,0,217143835.62,217143835.62,70773458.90,146370376.71
Jun 13 2030,HNT,0,217123287.67,217123287.67,70768321.92,146354965.75
Jun 08 2030,HNT,0,217097602.74,217097602.74,70761900.68,146335702.05
Jun 03 2030,HNT,0,217071917.81,217071917.81,70755479.45,146316438.36
May 29 2030,HNT,0,217046232.88,217046232.88,70749058.22,146297174.66
May 24 2030,HNT,0,217020547.95,217020547.95,70742636.99,146277910.96
May 19 2030,HNT,0,216994863.01,216994863.01,70736215.75,146258647.26
May 14 2030,HNT,0,216969178.08,216969178.08,70729794.52,146239383.56
May 09 2030,HNT,0,216943493.15,216943493.15,70723373.29,146220119.86
May 05 2030,HNT,0,216922945.21,216922945.21,70718236.30,146204708.90
Apr 30 2030,HNT,0,216897260.27,216897260.27,70711815.07,146185445.21
Apr 25 2030,HNT,0,216871575.34,216871575.34,70705393.84,146166181.51
Apr 20 2030,HNT,0,216845890.41,216845890.41,70698972.60,146146917.81
Apr 15 2030,HNT,0,216820205.48,216820205.48,70692551.37,146127654.11
Apr 10 2030,HNT,0,216794520.55,216794520.55,70686130.14,146108390.41
Apr 05 2030,HNT,0,216768835.62,216768835.62,70679708.90,146089126.71
Mar 31 2030,HNT,0,216743150.68,216743150.68,70673287.67,146069863.01
Mar 27 2030,HNT,0,216722602.74,216722602.74,70668150.68,146054452.05
Mar 22 2030,HNT,0,216696917.81,216696917.81,70661729.45,146035188.36
Mar 17 2030,HNT,0,216671232.88,216671232.88,70655308.22,146015924.66
Mar 12 2030,HNT,0,216645547.95,216645547.95,70648886.99,145996660.96
Mar 07 2030,HNT,0,216619863.01,216619863.01,70642465.75,145977397.26
Mar 02 2030,HNT,0,216594178.08,216594178.08,70636044.52,145958133.56
Feb 25 2030,HNT,0,216568493.15,216568493.15,70629623.29,145938869.86
Feb 20 2030,HNT,0,216542808.22,216542808.22,70623202.05,145919606.16
Feb 16 2030,HNT,0,216522260.27,216522260.27,70618065.07,145904195.21
Feb 11 2030,HNT,0,216496575.34,216496575.34,70611643.84,145884931.51
Feb 06 2030,HNT,0,216470890.41,216470890.41,70605222.60,145865667.81
Feb 01 2030,HNT,0,216445205.48,216445205.48,70598801.37,145846404.11
Jan 27 2030,HNT,0,216419520.55,216419520.55,70592380.14,145827140.41
Jan 22 2030,HNT,0,216393835.62,216393835.62,70585958.90,145807876.71
Jan 17 2030,HNT,0,216368150.68,216368150.68,70579537.67,145788613.01
Jan 12 2030,HNT,0,216342465.75,216342465.75,70573116.44,145769349.32
Jan 08 2030,HNT,0,216321917.81,216321917.81,70567979.45,145753938.36
Jan 03 2030,HNT,0,216296232.88,216296232.88,70561558.22,145734674.66
Dec 29 2029,HNT,0,216270547.95,216270547.95,70555136.99,145715410.96
Dec 24 2029,HNT,0,216244863.01,216244863.01,70548715.75,145696147.26
Dec 19 2029,HNT,0,216219178.08,216219178.08,70542294.52,145676883.56
Dec 14 2029,HNT,0,216193493.15,216193493.15,70535873.29,145657619.86
Dec 09 2029,HNT,0,216167808.22,216167808.22,70529452.05,145638356.16
Dec 04 2029,HNT,0,216142123.29,216142123.29,70523030.82,145619092.47
Nov 30 2029,HNT,0,216121575.34,216121575.34,70517893.84,145603681.51
Nov 25 2029,HNT,0,216095890.41,216095890.41,70511472.60,145584417.81
Nov 20 2029,HNT,0,216070205.48,216070205.48,70505051.37,145565154.11
Nov 15 2029,HNT,0,216044520.55,216044520.55,70498630.14,145545890.41
Nov 10 2029,HNT,0,216018835.62,216018835.62,70492208.90,145526626.71
Nov 05 2029,HNT,0,215993150.68,215993150.68,70485787.67,145507363.01
Oct 31 2029,HNT,0,215967465.75,215967465.75,70479366.44,145488099.32
Oct 26 2029,HNT,0,215941780.82,215941780.82,70472945.21,145468835.62
Oct 22 2029,HNT,0,215921232.88,215921232.88,70467808.22,145453424.66
Oct 17 2029,HNT,0,215895547.95,215895547.95,70461386.99,145434160.96
Oct 12 2029,HNT,0,215869863.01,215869863.01,70454965.75,145414897.26
Oct 07 2029,HNT,0,215844178.08,215844178.08,70448544.52,145395633.56
Oct 02 2029,HNT,0,215818493.15,215818493.15,70442123.29,145376369.86
Sep 27 2029,HNT,0,215792808.22,215792808.22,70435702.05,145357106.16
Sep 22 2029,HNT,0,215767123.29,215767123.29,70429280.82,145337842.47
Sep 17 2029,HNT,0,215741438.36,215741438.36,70422859.59,145318578.77
Sep 13 2029,HNT,0,215720890.41,215720890.41,70417722.60,145303167.81
Sep 08 2029,HNT,0,215695205.48,215695205.48,70411301.37,145283904.11
Sep 03 2029,HNT,0,215669520.55,215669520.55,70404880.14,145264640.41
Aug 29 2029,HNT,0,215643835.62,215643835.62,70398458.90,145245376.71
Aug 24 2029,HNT,0,215618150.68,215618150.68,70392037.67,145226113.01
Aug 19 2029,HNT,0,215592465.75,215592465.75,70385616.44,145206849.32
Aug 14 2029,HNT,0,215566780.82,215566780.82,70379195.21,145187585.62
Aug 09 2029,HNT,0,215541095.89,215541095.89,70372773.97,145168321.92
Aug 05 2029,HNT,0,215520547.95,215520547.95,70367636.99,145152910.96
Jul 31 2029,HNT,0,215489726.03,215489726.03,70359828.77,145129897.26
Jul 26 2029,HNT,0,215438356.16,215438356.16,70346472.60,145091883.56
Jul 21 2029,HNT,0,215386986.30,215386986.30,70333116.44,145053869.86
Jul 16 2029,HNT,0,215335616.44,215335616.44,70319760.27,145015856.16
Jul 11 2029,HNT,0,215284246.58,215284246.58,70306404.11,144977842.47
Jul 06 2029,HNT,0,215232876.71,215232876.71,70293047.95,144939828.77
Jul 01 2029,HNT,0,215181506.85,215181506.85,70279691.78,144901815.07
Jun 27 2029,HNT,0,215140410.96,215140410.96,70269006.85,144871404.11
Jun 22 2029,HNT,0,215089041.10,215089041.10,70255650.68,144833390.41
Jun 17 2029,HNT,0,215037671.23,215037671.23,70242294.52,144795376.71
Jun 12 2029,HNT,0,214986301.37,214986301.37,70228938.36,144757363.01
Jun 07 2029,HNT,0,214934931.51,214934931.51,70215582.19,144719349.32
Jun 02 2029,HNT,0,214883561.64,214883561.64,70202226.03,144681335.62
May 28 2029,HNT,0,214832191.78,214832191.78,70188869.86,144643321.92
May 23 2029,HNT,0,214780821.92,214780821.92,70175513.70,144605308.22
May 19 2029,HNT,0,214739726.03,214739726.03,70164828.77,144574897.26
May 14 2029,HNT,0,214688356.16,214688356.16,70151472.60,144536883.56
May 09 2029,HNT,0,214636986.30,214636986.30,70138116.44,144498869.86
May 04 2029,HNT,0,214585616.44,214585616.44,70124760.27,144460856.16
Apr 29 2029,HNT,0,214534246.58,214534246.58,70111404.11,144422842.47
Apr 24 2029,HNT,0,214482876.71,214482876.71,70098047.95,144384828.77
Apr 19 2029,HNT,0,214431506.85,214431506.85,70084691.78,144346815.07
Apr 14 2029,HNT,0,214380136.99,214380136.99,70071335.62,144308801.37
Apr 10 2029,HNT,0,214339041.10,214339041.10,70060650.68,144278390.41
Apr 05 2029,HNT,0,214287671.23,214287671.23,70047294.52,144240376.71
Mar 31 2029,HNT,0,214236301.37,214236301.37,70033938.36,144202363.01
Mar 26 2029,HNT,0,214184931.51,214184931.51,70020582.19,144164349.32
Mar 21 2029,HNT,0,214133561.64,214133561.64,70007226.03,144126335.62
Mar 16 2029,HNT,0,214082191.78,214082191.78,69993869.86,144088321.92
Mar 11 2029,HNT,0,214030821.92,214030821.92,69980513.70,144050308.22
Mar 06 2029,HNT,0,213979452.05,213979452.05,69967157.53,144012294.52
Mar 02 2029,HNT,0,213938356.16,213938356.16,69956472.60,143981883.56
Feb 25 2029,HNT,0,213886986.30,213886986.30,69943116.44,143943869.86
Feb 20 2029,HNT,0,213835616.44,213835616.44,69929760.27,143905856.16
Feb 15 2029,HNT,0,213784246.58,213784246.58,69916404.11,143867842.47
Feb 10 2029,HNT,0,213732876.71,213732876.71,69903047.95,143829828.77
Feb 05 2029,HNT,0,213681506.85,213681506.85,69889691.78,143791815.07
Jan 31 2029,HNT,0,213630136.99,213630136.99,69876335.62,143753801.37
Jan 26 2029,HNT,0,213578767.12,213578767.12,69862979.45,143715787.67
Jan 22 2029,HNT,0,213537671.23,213537671.23,69852294.52,143685376.71
Jan 17 2029,HNT,0,213486301.37,213486301.37,69838938.36,143647363.01
Jan 12 2029,HNT,0,213434931.51,213434931.51,69825582.19,143609349.32
Jan 07 2029,HNT,0,213383561.64,213383561.64,69812226.03,143571335.62
Jan 02 2029,HNT,0,213332191.78,213332191.78,69798869.86,143533321.92
Dec 28 2028,HNT,0,213280821.92,213280821.92,69785513.70,143495308.22
Dec 23 2028,HNT,0,213229452.05,213229452.05,69772157.53,143457294.52
Dec 18 2028,HNT,0,213178082.19,213178082.19,69758801.37,143419280.82
Dec 14 2028,HNT,0,213136986.30,213136986.30,69748116.44,143388869.86
Dec 09 2028,HNT,0,213085616.44,213085616.44,69734760.27,143350856.16
Dec 04 2028,HNT,0,213034246.58,213034246.58,69721404.11,143312842.47
Nov 29 2028,HNT,0,212982876.71,212982876.71,69708047.95,143274828.77
Nov 24 2028,HNT,0,212931506.85,212931506.85,69694691.78,143236815.07
Nov 19 2028,HNT,0,212880136.99,212880136.99,69681335.62,143198801.37
Nov 14 2028,HNT,0,212828767.12,212828767.12,69667979.45,143160787.67
Nov 09 2028,HNT,0,212777397.26,212777397.26,69654623.29,143122773.97
Nov 05 2028,HNT,0,212736301.37,212736301.37,69643938.36,143092363.01
Oct 31 2028,HNT,0,212684931.51,212684931.51,69630582.19,143054349.32
Oct 26 2028,HNT,0,212633561.64,212633561.64,69617226.03,143016335.62
Oct 21 2028,HNT,0,212582191.78,212582191.78,69603869.86,142978321.92
Oct 16 2028,HNT,0,212530821.92,212530821.92,69590513.70,142940308.22
Oct 11 2028,HNT,0,212479452.05,212479452.05,69577157.53,142902294.52
Oct 06 2028,HNT,0,212428082.19,212428082.19,69563801.37,142864280.82
Oct 01 2028,HNT,0,212376712.33,212376712.33,69550445.21,142826267.12
Sep 27 2028,HNT,0,212335616.44,212335616.44,69539760.27,142795856.16
Sep 22 2028,HNT,0,212284246.58,212284246.58,69526404.11,142757842.47
Sep 17 2028,HNT,0,212232876.71,212232876.71,69513047.95,142719828.77
Sep 12 2028,HNT,0,212181506.85,212181506.85,69499691.78,142681815.07
Sep 07 2028,HNT,0,212130136.99,212130136.99,69486335.62,142643801.37
Sep 02 2028,HNT,0,212078767.12,212078767.12,69472979.45,142605787.67
Aug 28 2028,HNT,0,212027397.26,212027397.26,69459623.29,142567773.97
Aug 23 2028,HNT,0,211976027.40,211976027.40,69446267.12,142529760.27
Aug 19 2028,HNT,0,211934931.51,211934931.51,69435582.19,142499349.32
Aug 14 2028,HNT,0,211883561.64,211883561.64,69422226.03,142461335.62
Aug 09 2028,HNT,0,211832191.78,211832191.78,69408869.86,142423321.92
Aug 04 2028,HNT,0,211780821.92,211780821.92,69395513.70,142385308.22
Jul 30 2028,HNT,0,211729508.20,211729508.20,69381967.21,142347540.98
Jul 25 2028,HNT,0,211678278.69,211678278.69,69368135.25,142310143.44
Jul 20 2028,HNT,0,211627049.18,211627049.18,69354303.28,142272745.90
Jul 15 2028,HNT,0,211575819.67,211575819.67,69340471.31,142235348.36
Jul 11 2028,HNT,0,211534836.07,211534836.07,69329405.74,142205430.33
Jul 06 2028,HNT,0,211483606.56,211483606.56,69315573.77,142168032.79
Jul 01 2028,HNT,0,211432377.05,211432377.05,69301741.80,142130635.25
Jun 26 2028,HNT,0,211381147.54,211381147.54,69287909.84,142093237.70
Jun 21 2028,HNT,0,211329918.03,211329918.03,69274077.87,142055840.16
Jun 16 2028,HNT,0,211278688.52,211278688.52,69260245.90,142018442.62
Jun 11 2028,HNT,0,211227459.02,211227459.02,69246413.93,141981045.08
Jun 06 2028,HNT,0,211176229.51,211176229.51,69232581.97,141943647.54
Jun 02 2028,HNT,0,211135245.90,211135245.90,69221516.39,141913729.51
May 28 2028,HNT,0,211084016.39,211084016.39,69207684.43,141876331.97
May 23 2028,HNT,0,211032786.89,211032786.89,69193852.46,141838934.43
May 18 2028,HNT,0,210981557.38,210981557.38,69180020.49,141801536.89
May 13 2028,HNT,0,210930327.87,210930327.87,69166188.52,141764139.34
May 08 2028,HNT,0,210879098.36,210879098.36,69152356.56,141726741.80
May 03 2028,HNT,0,210827868.85,210827868.85,69138524.59,141689344.26
Apr 28 2028,HNT,0,210776639.34,210776639.34,69124692.62,141651946.72
Apr 24 2028,HNT,0,210735655.74,210735655.74,69113627.05,141622028.69
Apr 19 2028,HNT,0,210684426.23,210684426.23,69099795.08,141584631.15
Apr 14 2028,HNT,0,210633196.72,210633196.72,69085963.11,141547233.61
Apr 09 2028,HNT,0,210581967.21,210581967.21,69072131.15,141509836.07
Apr 04 2028,HNT,0,210530737.70,210530737.70,69058299.18,141472438.52
Mar 30 2028,HNT,0,210479508.20,210479508.20,69044467.21,141435040.98
Mar 25 2028,HNT,0,210428278.69,210428278.69,69030635.25,141397643.44
Mar 20 2028,HNT,0,210377049.18,210377049.18,69016803.28,141360245.90
Mar 16 2028,HNT,0,210336065.57,210336065.57,69005737.70,141330327.87
Mar 11 2028,HNT,0,210284836.07,210284836.07,68991905.74,141292930.33
Mar 06 2028,HNT,0,210233606.56,210233606.56,68978073.77,141255532.79
Mar 01 2028,HNT,0,210182377.05,210182377.05,68964241.80,141218135.25
Feb 25 2028,HNT,0,210131147.54,210131147.54,68950409.84,141180737.70
Feb 20 2028,HNT,0,210079918.03,210079918.03,68936577.87,141143340.16
Feb 15 2028,HNT,0,210028688.52,210028688.52,68922745.90,141105942.62
Feb 10 2028,HNT,0,209977459.02,209977459.02,68908913.93,141068545.08
Feb 06 2028,HNT,0,209936475.41,209936475.41,68897848.36,141038627.05
Feb 01 2028,HNT,0,209885245.90,209885245.90,68884016.39,141001229.51
Jan 27 2028,HNT,0,209834016.39,209834016.39,68870184.43,140963831.97
Jan 22 2028,HNT,0,209782786.89,209782786.89,68856352.46,140926434.43
Jan 17 2028,HNT,0,209731557.38,209731557.38,68842520.49,140889036.89
Jan 12 2028,HNT,0,209680327.87,209680327.87,68828688.52,140851639.34
Jan 07 2028,HNT,0,209629098.36,209629098.36,68814856.56,140814241.80
Jan 02 2028,HNT,0,209577868.85,209577868.85,68801024.59,140776844.26
Dec 29 2027,HNT,0,209536885.25,209536885.25,68789959.02,140746926.23
Dec 24 2027,HNT,0,209485655.74,209485655.74,68776127.05,140709528.69
Dec 19 2027,HNT,0,209434426.23,209434426.23,68762295.08,140672131.15
Dec 14 2027,HNT,0,209383196.72,209383196.72,68748463.11,140634733.61
Dec 09 2027,HNT,0,209331967.21,209331967.21,68734631.15,140597336.07
Dec 04 2027,HNT,0,209280737.70,209280737.70,68720799.18,140559938.52
Nov 29 2027,HNT,0,209229508.20,209229508.20,68706967.21,140522540.98
Nov 24 2027,HNT,0,209178278.69,209178278.69,68693135.25,140485143.44
Nov 20 2027,HNT,0,209137295.08,209137295.08,68682069.67,140455225.41
Nov 15 2027,HNT,0,209086065.57,209086065.57,68668237.70,140417827.87
Nov 10 2027,HNT,0,209034836.07,209034836.07,68654405.74,140380430.33
Nov 05 2027,HNT,0,208983606.56,208983606.56,68640573.77,140343032.79
Oct 31 2027,HNT,0,208932377.05,208932377.05,68626741.80,140305635.25
Oct 26 2027,HNT,0,208881147.54,208881147.54,68612909.84,140268237.70
Oct 21 2027,HNT,0,208829918.03,208829918.03,68599077.87,140230840.16
Oct 16 2027,HNT,0,208778688.52,208778688.52,68585245.90,140193442.62
Oct 12 2027,HNT,0,208737704.92,208737704.92,68574180.33,140163524.59
Oct 07 2027,HNT,0,208686475.41,208686475.41,68560348.36,140126127.05
Oct 02 2027,HNT,0,208635245.90,208635245.90,68546516.39,140088729.51
Sep 27 2027,HNT,0,208584016.39,208584016.39,68532684.43,140051331.97
Sep 22 2027,HNT,0,208532786.89,208532786.89,68518852.46,140013934.43
Sep 17 2027,HNT,0,208481557.38,208481557.38,68505020.49,139976536.89
Sep 12 2027,HNT,0,208430327.87,208430327.87,68491188.52,139939139.34
Sep 07 2027,HNT,0,208379098.36,208379098.36,68477356.56,139901741.80
Sep 03 2027,HNT,0,208338114.75,208338114.75,68466290.98,139871823.77
Aug 29 2027,HNT,0,208286885.25,208286885.25,68452459.02,139834426.23
Aug 24 2027,HNT,0,208235655.74,208235655.74,68438627.05,139797028.69
Aug 19 2027,HNT,0,208184426.23,208184426.23,68424795.08,139759631.15
Aug 14 2027,HNT,0,208133196.72,208133196.72,68410963.11,139722233.61
Aug 09 2027,HNT,0,208081967.21,208081967.21,68397131.15,139684836.07
Aug 04 2027,HNT,0,208030737.70,208030737.70,68383299.18,139647438.52
Jul 30 2027,HNT,0,207958904.11,207958904.11,68363493.15,139595410.96
Jul 26 2027,HNT,0,207876712.33,207876712.33,68340479.45,139536232.88
Jul 21 2027,HNT,0,207773972.60,207773972.60,68311712.33,139462260.27
Jul 16 2027,HNT,0,207671232.88,207671232.88,68282945.21,139388287.67
Jul 11 2027,HNT,0,207568493.15,207568493.15,68254178.08,139314315.07
Jul 06 2027,HNT,0,207465753.42,207465753.42,68225410.96,139240342.47
Jul 01 2027,HNT,0,207363013.70,207363013.70,68196643.84,139166369.86
Jun 26 2027,HNT,0,207260273.97,207260273.97,68167876.71,139092397.26
Jun 21 2027,HNT,0,207157534.25,207157534.25,68139109.59,139018424.66
Jun 17 2027,HNT,0,207075342.47,207075342.47,68116095.89,138959246.58
Jun 12 2027,HNT,0,206972602.74,206972602.74,68087328.77,138885273.97
Jun 07 2027,HNT,0,206869863.01,206869863.01,68058561.64,138811301.37
Jun 02 2027,HNT,0,206767123.29,206767123.29,68029794.52,138737328.77
May 28 2027,HNT,0,206664383.56,206664383.56,68001027.40,138663356.16
May 23 2027,HNT,0,206561643.84,206561643.84,67972260.27,138589383.56
May 18 2027,HNT,0,206458904.11,206458904.11,67943493.15,138515410.96
May 13 2027,HNT,0,206356164.38,206356164.38,67914726.03,138441438.36
May 09 2027,HNT,0,206273972.60,206273972.60,67891712.33,138382260.27
May 04 2027,HNT,0,206171232.88,206171232.88,67862945.21,138308287.67
Apr 29 2027,HNT,0,206068493.15,206068493.15,67834178.08,138234315.07
Apr 24 2027,HNT,0,205965753.42,205965753.42,67805410.96,138160342.47
