Date,Symbol,Price,Available Supply,Unlocked Supply,Community & Other
Jun 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 27 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 25 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 23 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 22 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 20 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 18 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 16 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 15 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 13 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 11 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 10 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 08 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Jun 01 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 29 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 27 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 25 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 24 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 22 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 20 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 19 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 17 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 15 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 14 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 12 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 10 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 08 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 07 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 05 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
May 02 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 30 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 28 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 27 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 25 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 23 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 21 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 20 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 18 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 16 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 15 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 13 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 11 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 10 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 08 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 06 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 04 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 03 2024,SHIB,0,1000000000000000.00,1000000000000000.00,1000000000000000.00
Apr 01 2024,SHIB,$0.00,1000000000000000.00,1000000000000000.00,1000000000000000.00
Mar 30 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 29 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 27 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 25 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 24 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 22 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 20 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 19 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 17 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 15 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 13 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 12 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 10 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 08 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 07 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 05 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 03 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 02 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Feb 29 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Feb 27 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Feb 25 2024,SHIB,$0.0 5 9630,0,1000000000000000.00,1000000000000000.00
Feb 24 2024,SHIB,$0.0 5 9490,0,1000000000000000.00,1000000000000000.00
Feb 22 2024,SHIB,$0.0 5 9490,0,1000000000000000.00,1000000000000000.00
Feb 20 2024,SHIB,$0.0 5 9910,0,1000000000000000.00,1000000000000000.00
Feb 19 2024,SHIB,$0.0 5 9780,0,1000000000000000.00,1000000000000000.00
Feb 17 2024,SHIB,$0.0 5 9820,0,1000000000000000.00,1000000000000000.00
Feb 15 2024,SHIB,$0.0 5 9770,0,1000000000000000.00,1000000000000000.00
Feb 14 2024,SHIB,$0.0 5 9480,0,1000000000000000.00,1000000000000000.00
Feb 12 2024,SHIB,$0.0 5 9400,0,1000000000000000.00,1000000000000000.00
Feb 10 2024,SHIB,$0.0 5 9420,0,1000000000000000.00,1000000000000000.00
Feb 09 2024,SHIB,$0.0 5 9200,0,1000000000000000.00,1000000000000000.00
Feb 07 2024,SHIB,$0.0 5 8890,0,1000000000000000.00,1000000000000000.00
Feb 05 2024,SHIB,$0.0 5 8900,0,1000000000000000.00,1000000000000000.00
Feb 03 2024,SHIB,$0.0 5 9050,0,1000000000000000.00,1000000000000000.00
Feb 02 2024,SHIB,$0.0 5 9010,0,1000000000000000.00,1000000000000000.00
Jan 31 2024,SHIB,$0.0 5 9110,0,1000000000000000.00,1000000000000000.00
Jan 29 2024,SHIB,$0.0 5 8980,0,1000000000000000.00,1000000000000000.00
Jan 28 2024,SHIB,$0.0 5 9170,0,1000000000000000.00,1000000000000000.00
Jan 26 2024,SHIB,$0.0 5 8860,0,1000000000000000.00,1000000000000000.00
Jan 24 2024,SHIB,$0.0 5 8760,0,1000000000000000.00,1000000000000000.00
Jan 23 2024,SHIB,$0.0 5 8970,0,1000000000000000.00,1000000000000000.00
Jan 21 2024,SHIB,$0.0 5 9630,0,1000000000000000.00,1000000000000000.00
Jan 19 2024,SHIB,$0.0 5 9210,0,1000000000000000.00,1000000000000000.00
Jan 17 2024,SHIB,$0.0 5 9690,0,1000000000000000.00,1000000000000000.00
Jan 16 2024,SHIB,$0.0 5 9550,0,1000000000000000.00,1000000000000000.00
Jan 14 2024,SHIB,$0.0 5 9920,0,1000000000000000.00,1000000000000000.00
Jan 12 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Jan 11 2024,SHIB,$0.0 5 9970,0,1000000000000000.00,1000000000000000.00
Jan 09 2024,SHIB,$0.0 5 9540,0,1000000000000000.00,1000000000000000.00
Jan 07 2024,SHIB,$0.0 5 9560,0,1000000000000000.00,1000000000000000.00
Jan 06 2024,SHIB,$0.0 5 9820,0,1000000000000000.00,1000000000000000.00
Jan 04 2024,SHIB,$0.0 5 9550,0,1000000000000000.00,1000000000000000.00
Jan 02 2024,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 31 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 30 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 28 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 26 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 25 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 23 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 21 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 20 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 18 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 16 2023,SHIB,$0.0 5 9670,0,1000000000000000.00,1000000000000000.00
Dec 15 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 13 2023,SHIB,$0.0 5 9510,0,1000000000000000.00,1000000000000000.00
Dec 11 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 09 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Dec 08 2023,SHIB,$0.0 5 9740,0,1000000000000000.00,1000000000000000.00
Dec 06 2023,SHIB,$0.0 5 9370,0,1000000000000000.00,1000000000000000.00
Dec 04 2023,SHIB,$0.0 5 9100,0,1000000000000000.00,1000000000000000.00
Dec 03 2023,SHIB,$0.0 5 8510,0,1000000000000000.00,1000000000000000.00
Dec 01 2023,SHIB,$0.0 5 8270,0,1000000000000000.00,1000000000000000.00
Nov 29 2023,SHIB,$0.0 5 8250,0,1000000000000000.00,1000000000000000.00
Nov 28 2023,SHIB,$0.0 5 8150,0,1000000000000000.00,1000000000000000.00
Nov 26 2023,SHIB,$0.0 5 8460,0,1000000000000000.00,1000000000000000.00
Nov 24 2023,SHIB,$0.0 5 8130,0,1000000000000000.00,1000000000000000.00
Nov 22 2023,SHIB,$0.0 5 7830,0,1000000000000000.00,1000000000000000.00
Nov 21 2023,SHIB,$0.0 5 8480,0,1000000000000000.00,1000000000000000.00
Nov 19 2023,SHIB,$0.0 5 8540,0,1000000000000000.00,1000000000000000.00
Nov 17 2023,SHIB,$0.0 5 8540,0,1000000000000000.00,1000000000000000.00
Nov 16 2023,SHIB,$0.0 5 8810,0,1000000000000000.00,1000000000000000.00
Nov 14 2023,SHIB,$0.0 5 8600,0,1000000000000000.00,1000000000000000.00
Nov 12 2023,SHIB,$0.0 5 9050,0,1000000000000000.00,1000000000000000.00
Nov 11 2023,SHIB,$0.0 5 8540,0,1000000000000000.00,1000000000000000.00
Nov 09 2023,SHIB,$0.0 5 8350,0,1000000000000000.00,1000000000000000.00
Nov 07 2023,SHIB,$0.0 5 8470,0,1000000000000000.00,1000000000000000.00
Nov 06 2023,SHIB,$0.0 5 8130,0,1000000000000000.00,1000000000000000.00
Nov 04 2023,SHIB,$0.0 5 7840,0,1000000000000000.00,1000000000000000.00
Nov 02 2023,SHIB,$0.0 5 7910,0,1000000000000000.00,1000000000000000.00
Oct 31 2023,SHIB,$0.0 5 7980,0,1000000000000000.00,1000000000000000.00
Oct 30 2023,SHIB,$0.0 5 8070,0,1000000000000000.00,1000000000000000.00
Oct 28 2023,SHIB,$0.0 5 7690,0,1000000000000000.00,1000000000000000.00
Oct 26 2023,SHIB,$0.0 5 7880,0,1000000000000000.00,1000000000000000.00
Oct 25 2023,SHIB,$0.0 5 7430,0,1000000000000000.00,1000000000000000.00
Oct 23 2023,SHIB,$0.0 5 7100,0,1000000000000000.00,1000000000000000.00
Oct 21 2023,SHIB,$0.0 5 6940,0,1000000000000000.00,1000000000000000.00
Oct 20 2023,SHIB,$0.0 5 6810,0,1000000000000000.00,1000000000000000.00
Oct 18 2023,SHIB,$0.0 5 6910,0,1000000000000000.00,1000000000000000.00
Oct 16 2023,SHIB,$0.0 5 6960,0,1000000000000000.00,1000000000000000.00
Oct 14 2023,SHIB,$0.0 5 6920,0,1000000000000000.00,1000000000000000.00
Oct 13 2023,SHIB,$0.0 5 6800,0,1000000000000000.00,1000000000000000.00
Oct 11 2023,SHIB,$0.0 5 6910,0,1000000000000000.00,1000000000000000.00
Oct 09 2023,SHIB,$0.0 5 7190,0,1000000000000000.00,1000000000000000.00
Oct 08 2023,SHIB,$0.0 5 7240,0,1000000000000000.00,1000000000000000.00
Oct 06 2023,SHIB,$0.0 5 7170,0,1000000000000000.00,1000000000000000.00
Oct 04 2023,SHIB,$0.0 5 7260,0,1000000000000000.00,1000000000000000.00
Oct 03 2023,SHIB,$0.0 5 7300,0,1000000000000000.00,1000000000000000.00
Oct 01 2023,SHIB,$0.0 5 7350,0,1000000000000000.00,1000000000000000.00
Sep 29 2023,SHIB,$0.0 5 7290,0,1000000000000000.00,1000000000000000.00
Sep 27 2023,SHIB,$0.0 5 7220,0,1000000000000000.00,1000000000000000.00
Sep 26 2023,SHIB,$0.0 5 7270,0,1000000000000000.00,1000000000000000.00
Sep 24 2023,SHIB,$0.0 5 7500,0,1000000000000000.00,1000000000000000.00
Sep 22 2023,SHIB,$0.0 5 7270,0,1000000000000000.00,1000000000000000.00
Sep 21 2023,SHIB,$0.0 5 7440,0,1000000000000000.00,1000000000000000.00
Sep 19 2023,SHIB,$0.0 5 7280,0,1000000000000000.00,1000000000000000.00
Sep 17 2023,SHIB,$0.0 5 7390,0,1000000000000000.00,1000000000000000.00
Sep 16 2023,SHIB,$0.0 5 7470,0,1000000000000000.00,1000000000000000.00
Sep 14 2023,SHIB,$0.0 5 7250,0,1000000000000000.00,1000000000000000.00
Sep 12 2023,SHIB,$0.0 5 7030,0,1000000000000000.00,1000000000000000.00
Sep 11 2023,SHIB,$0.0 5 7370,0,1000000000000000.00,1000000000000000.00
Sep 09 2023,SHIB,$0.0 5 7560,0,1000000000000000.00,1000000000000000.00
Sep 07 2023,SHIB,$0.0 5 7650,0,1000000000000000.00,1000000000000000.00
Sep 05 2023,SHIB,$0.0 5 7470,0,1000000000000000.00,1000000000000000.00
Sep 04 2023,SHIB,$0.0 5 7660,0,1000000000000000.00,1000000000000000.00
Sep 02 2023,SHIB,$0.0 5 7840,0,1000000000000000.00,1000000000000000.00
Aug 31 2023,SHIB,$0.0 5 8150,0,1000000000000000.00,1000000000000000.00
Aug 30 2023,SHIB,$0.0 5 8390,0,1000000000000000.00,1000000000000000.00
Aug 28 2023,SHIB,$0.0 5 8040,0,1000000000000000.00,1000000000000000.00
Aug 26 2023,SHIB,$0.0 5 8120,0,1000000000000000.00,1000000000000000.00
Aug 25 2023,SHIB,$0.0 5 8150,0,1000000000000000.00,1000000000000000.00
Aug 23 2023,SHIB,$0.0 5 7910,0,1000000000000000.00,1000000000000000.00
Aug 21 2023,SHIB,$0.0 5 8350,0,1000000000000000.00,1000000000000000.00
Aug 19 2023,SHIB,$0.0 5 8590,0,1000000000000000.00,1000000000000000.00
Aug 18 2023,SHIB,$0.0 5 8050,0,1000000000000000.00,1000000000000000.00
Aug 16 2023,SHIB,$0.0 5 9960,0,1000000000000000.00,1000000000000000.00
Aug 14 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Aug 13 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Aug 11 2023,SHIB,$0.0 5 9940,0,1000000000000000.00,1000000000000000.00
Aug 09 2023,SHIB,$0.0 5 9430,0,1000000000000000.00,1000000000000000.00
Aug 08 2023,SHIB,$0.0 5 8970,0,1000000000000000.00,1000000000000000.00
Aug 06 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Aug 04 2023,SHIB,$0.0 5 8270,0,1000000000000000.00,1000000000000000.00
Aug 03 2023,SHIB,$0.0 5 8180,0,1000000000000000.00,1000000000000000.00
Aug 01 2023,SHIB,$0.0 5 8470,0,1000000000000000.00,1000000000000000.00
Jul 30 2023,SHIB,$0.0 5 8590,0,1000000000000000.00,1000000000000000.00
Jul 28 2023,SHIB,$0.0 5 7790,0,1000000000000000.00,1000000000000000.00
Jul 27 2023,SHIB,$0.0 5 7840,0,1000000000000000.00,1000000000000000.00
Jul 25 2023,SHIB,$0.0 5 7650,0,1000000000000000.00,1000000000000000.00
Jul 23 2023,SHIB,$0.0 5 7810,0,1000000000000000.00,1000000000000000.00
Jul 22 2023,SHIB,$0.0 5 7840,0,1000000000000000.00,1000000000000000.00
Jul 20 2023,SHIB,$0.0 5 7730,0,1000000000000000.00,1000000000000000.00
Jul 18 2023,SHIB,$0.0 5 7830,0,1000000000000000.00,1000000000000000.00
Jul 17 2023,SHIB,$0.0 5 7930,0,1000000000000000.00,1000000000000000.00
Jul 15 2023,SHIB,$0.0 5 7960,0,1000000000000000.00,1000000000000000.00
Jul 13 2023,SHIB,$0.0 5 7500,0,1000000000000000.00,1000000000000000.00
Jul 11 2023,SHIB,$0.0 5 7520,0,1000000000000000.00,1000000000000000.00
Jul 10 2023,SHIB,$0.0 5 7710,0,1000000000000000.00,1000000000000000.00
Jul 08 2023,SHIB,$0.0 5 7310,0,1000000000000000.00,1000000000000000.00
Jul 06 2023,SHIB,$0.0 5 7450,0,1000000000000000.00,1000000000000000.00
Jul 05 2023,SHIB,$0.0 5 7720,0,1000000000000000.00,1000000000000000.00
Jul 03 2023,SHIB,$0.0 5 7670,0,1000000000000000.00,1000000000000000.00
Jul 01 2023,SHIB,$0.0 5 7580,0,1000000000000000.00,1000000000000000.00
Jun 30 2023,SHIB,$0.0 5 7330,0,1000000000000000.00,1000000000000000.00
Jun 28 2023,SHIB,$0.0 5 7550,0,1000000000000000.00,1000000000000000.00
Jun 26 2023,SHIB,$0.0 5 7890,0,1000000000000000.00,1000000000000000.00
Jun 25 2023,SHIB,$0.0 5 7830,0,1000000000000000.00,1000000000000000.00
Jun 23 2023,SHIB,$0.0 5 7880,0,1000000000000000.00,1000000000000000.00
Jun 21 2023,SHIB,$0.0 5 7250,0,1000000000000000.00,1000000000000000.00
Jun 19 2023,SHIB,$0.0 5 7170,0,1000000000000000.00,1000000000000000.00
Jun 18 2023,SHIB,$0.0 5 6970,0,1000000000000000.00,1000000000000000.00
Jun 16 2023,SHIB,$0.0 5 6760,0,1000000000000000.00,1000000000000000.00
Jun 14 2023,SHIB,$0.0 5 6770,0,1000000000000000.00,1000000000000000.00
Jun 13 2023,SHIB,$0.0 5 6690,0,1000000000000000.00,1000000000000000.00
Jun 11 2023,SHIB,$0.0 5 6990,0,1000000000000000.00,1000000000000000.00
Jun 09 2023,SHIB,$0.0 5 7950,0,1000000000000000.00,1000000000000000.00
Jun 08 2023,SHIB,$0.0 5 7870,0,1000000000000000.00,1000000000000000.00
Jun 06 2023,SHIB,$0.0 5 7990,0,1000000000000000.00,1000000000000000.00
Jun 04 2023,SHIB,$0.0 5 8590,0,1000000000000000.00,1000000000000000.00
Jun 02 2023,SHIB,$0.0 5 8490,0,1000000000000000.00,1000000000000000.00
Jun 01 2023,SHIB,$0.0 5 8510,0,1000000000000000.00,1000000000000000.00
May 30 2023,SHIB,$0.0 5 8730,0,1000000000000000.00,1000000000000000.00
May 28 2023,SHIB,$0.0 5 8650,0,1000000000000000.00,1000000000000000.00
May 27 2023,SHIB,$0.0 5 8590,0,1000000000000000.00,1000000000000000.00
May 25 2023,SHIB,$0.0 5 8540,0,1000000000000000.00,1000000000000000.00
May 23 2023,SHIB,$0.0 5 8810,0,1000000000000000.00,1000000000000000.00
May 22 2023,SHIB,$0.0 5 8580,0,1000000000000000.00,1000000000000000.00
May 20 2023,SHIB,$0.0 5 8720,0,1000000000000000.00,1000000000000000.00
May 18 2023,SHIB,$0.0 5 8810,0,1000000000000000.00,1000000000000000.00
May 16 2023,SHIB,$0.0 5 8870,0,1000000000000000.00,1000000000000000.00
May 15 2023,SHIB,$0.0 5 8840,0,1000000000000000.00,1000000000000000.00
May 13 2023,SHIB,$0.0 5 8890,0,1000000000000000.00,1000000000000000.00
May 11 2023,SHIB,$0.0 5 9070,0,1000000000000000.00,1000000000000000.00
May 10 2023,SHIB,$0.0 5 9010,0,1000000000000000.00,1000000000000000.00
May 08 2023,SHIB,$0.0 5 9440,0,1000000000000000.00,1000000000000000.00
May 06 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
May 05 2023,SHIB,$0.0 5 9930,0,1000000000000000.00,1000000000000000.00
May 03 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
May 01 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 30 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 28 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 26 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 24 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 23 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 21 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 19 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 18 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 16 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 14 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 13 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 11 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 09 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 07 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 06 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 04 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 02 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Apr 01 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 30 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
Mar 28 2023,SHIB,$0.00,0,1000000000000000.00,1000000000000000.00
